recycler_id,cpcb_registration_id,company_name,registered_address,state,city,latitude,longitude,permitted_capacity_mta,authorization_status,materials_accepted,pickup_available,min_pickup_weight_kg,service_radius_km,total_pickups_booked,total_pickups_completed,cancellation_rate,fulfillment_score,avg_payout_delay_hours,contact_phone
REC_EXC_011,CPCB/EXC/2023/011,M/s. United Global Trust,"F-5, Zoo Road, S enduri Ali Path, Guwahati, Dist. Kamrup (M) Assam 120 120",Assam,Guwahati,26.4614,92.9989,120.0,ACTIVE,"PCB,BATTERY,CABLE,LCD,CRT,MIXED_PLASTIC",True,20.0,75.0,44,38,0.136,0.87,0.8,+91-9234987326
REC_EXC_012,CPCB/EXC/2023/012,M/s. ADV Metal Combine Pvt. Ltd.,"Shed No. - 25, Borai Industrial Growth Center, Rasmada, Dist.- Durg (C.G) 750 6750",Chhattisgarh,Durg,21.6745,81.8415,6750.0,ACTIVE,"PCB,BATTERY,CABLE,LCD,CRT,MIXED_PLASTIC",True,20.0,75.0,172,163,0.052,0.948,3.3,+91-9524623942
REC_EXC_013,CPCB/EXC/2023/013,M/s. Star E-Processors,"Village-Baktara, P.O.-Godi, Tehsil-Arung, District- Raipur, Chhattisgarh 6000",Chhattisgarh,Raipur,21.0685,81.5273,6000.0,ACTIVE,"PCB,BATTERY,CABLE,LCD,CRT,MIXED_PLASTIC",True,20.0,30.0,163,149,0.086,0.915,1.1,+91-9712286237
REC_EXC_014,CPCB/EXC/2023/014,M/s Fozia Traders,"Khasra No.13/1, Saboli Mandoli
Industrial Area, Delhi-110093 90",Chhattisgarh,Delhi,21.662,81.6904,90.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",True,30.0,30.0,158,140,0.114,0.887,0.5,+91-9540529868
REC_EXC_015,CPCB/EXC/2023/015,M/s Muskan Technologies,"B-96,Okhla Industrial Area,Phase-1,Delhi- 110020 600",Chhattisgarh,Delhi,21.6394,81.3731,600.0,ACTIVE,"PCB,BATTERY,CABLE,LCD,CRT,MIXED_PLASTIC",True,20.0,30.0,80,71,0.113,0.89,3.3,+91-9414404213
REC_EXC_016,CPCB/EXC/2023/016,M/s. Shivnath Computers,"E-47/2, 1st Floor, Okhla Phase-2, Delhi- 110019 450 1989",Delhi,Delhi,28.4229,77.1606,1989.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",False,0.0,10.0,215,209,0.028,0.972,2.6,+91-9318520688
REC_EXC_017,CPCB/EXC/2023/017,M/s. Techchef E-Waste Solutions Private Limited,"C-61, Top Floor, DDA Shed Okhla
Industrial Area, Delhi-110020 99",Delhi,Delhi,28.3522,77.6002,99.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",True,30.0,75.0,158,140,0.114,0.887,2.1,+91-9949472217
REC_EXC_018,CPCB/EXC/2023/018,"M/s. Greenscape Eco Management Private
Ltd.","348, Patparganj Industrial Area, Delhi-110020 450",Delhi,Delhi,29.1898,76.8446,450.0,ACTIVE,"PCB,BATTERY,CABLE,LCD,CRT,MIXED_PLASTIC",True,50.0,30.0,67,60,0.104,0.899,3.5,+91-9739196117
REC_EXC_019,CPCB/EXC/2023/019,M/s. Shree Raman E-Waste,"Plot No. 7, Khasra No. 487, Peeragarhi Industrial Area, Peeragarhi
Village, Delhi -110087 300",Delhi,Delhi,28.7399,76.6928,300.0,ACTIVE,"CRT,MIXED_PLASTIC,METALS",True,30.0,30.0,32,29,0.094,0.912,1.2,+91-9151939266
REC_EXC_020,CPCB/EXC/2023/020,M/s. E-coli Waste Management P. Ltd,Plot No.-90 TO 92 Sabar Industrial Park Pvt. Ltd Vill-Asal Ta-Bhiloda Dist-Sabar kantha 7227 158604.92,Gujarat,Sabarkantha,22.5682,71.0411,158604.92,ACTIVE,"PCB,BATTERY,CABLE,LCD,CRT,MIXED_PLASTIC",True,50.0,50.0,133,116,0.128,0.874,2.7,+91-9997955761
REC_EXC_021,CPCB/EXC/2023/021,M/s. Mangalam ECS Environment Ltd,"ECS House, 11-12 Garden View, Opp. Auda Garden, Sindhu Bhawan road, Off SG Highway-Pakwan Circle, Bodakdev, Ahmedabad 38",Gujarat,Ahmedabad,22.6834,71.5697,4999.92,ACTIVE,"PCB,BATTERY,CABLE",True,30.0,30.0,89,79,0.112,0.89,0.8,+91-9732286859
REC_EXC_022,CPCB/EXC/2023/022,M/s. Pruthavi E-Recycle Pvt. Ltd.,Plot No.-31/32 Golden Industries Area Near Rolex Industries Vill- Kothariya Rajkot -360002 3000,Gujarat,Rajkot,22.317,71.575,3000.0,ACTIVE,"PCB,BATTERY,CABLE,LCD,CRT,MIXED_PLASTIC",True,50.0,75.0,177,171,0.034,0.966,3.2,+91-9533484403
REC_EXC_023,CPCB/EXC/2023/023,M/s. E-Process House,"Plot No. 136/F-1. 2nd Phase, GIDC, Dist Valsad VAPI 396195 277",Gujarat,Valsad,21.8428,70.854,277.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",True,50.0,50.0,128,125,0.023,0.977,1.0,+91-9309310033
REC_EXC_024,CPCB/EXC/2023/024,M/s. Earth E-Waste Management Pvt. Ltd.,"Block No. 63, Sagun Ind. Estate, Type-A Paiky 11-A, Plot No. 1 to 5 & 10-D, Plot No. 1 to 5, Vill-Altodara, Tal. Opad, D",Gujarat,Opad,22.2443,71.1408,6000.0,ACTIVE,"PCB,BATTERY,CABLE",False,0.0,10.0,97,86,0.113,0.889,1.0,+91-9600229623
REC_EXC_025,CPCB/EXC/2023/025,M/s.  Recotech E-Waste Management,"Plot No. 36-37, Aashirwad Industrial Estate, Udhana-Sachin Road, GIDC Naka, Sachine, Surat 307",Gujarat,Surat,22.4083,71.5416,307.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",True,50.0,75.0,148,131,0.115,0.887,3.4,+91-9714600044
REC_EXC_026,CPCB/EXC/2023/026,M/s. E-Front Line Recyclling Pvt. Ltd.,"Shed No. C1B-905\9, GIDC, Panoli, Tal: Ankleshwar, Distt: Bharuch, Gujarat- 394116 2700",Gujarat,Bharuch,22.2454,71.5985,2700.0,ACTIVE,"PCB,BATTERY,CABLE,LCD,CRT,MIXED_PLASTIC",True,20.0,75.0,90,82,0.089,0.913,0.6,+91-9724798768
REC_EXC_027,CPCB/EXC/2023/027,M/s. Dron E-Waste Solution,"Plot No. 56, G.I.D.C., Gozariya, Tal & Distt; Mehsana, Gujarat- 382825 975",Gujarat,Mehsana,21.8023,71.687,975.0,ACTIVE,"PCB,BATTERY,CABLE,LCD,CRT,MIXED_PLASTIC",True,30.0,75.0,153,131,0.144,0.858,1.5,+91-9326623789
REC_EXC_028,CPCB/EXC/2023/028,M/s. Eximo Recycling Pvt. Ltd.,"Plot No. 5/3, Raj Industrial Estate, Tal: Savli, Vadodara 900",Gujarat,Vadodara,22.7254,71.656,900.0,ACTIVE,"PCB,BATTERY,CABLE,LCD,CRT,MIXED_PLASTIC",True,20.0,75.0,190,170,0.105,0.896,1.6,+91-9721445097
REC_EXC_029,CPCB/EXC/2023/029,M/s. Galaxy Recycling,"Sr. No. 36/P1, P2, 37/P2, 38/P2, Plot No. 52 &53, Near Tirth Agro. Pvt. Ltd., At: Bharudi, Tal: Gondal, Rajkot 521",Gujarat,Rajkot,22.6949,71.3884,521.0,ACTIVE,"CRT,MIXED_PLASTIC,METALS",False,0.0,10.0,61,57,0.066,0.937,0.9,+91-9178725274
REC_EXC_030,CPCB/EXC/2023/030,M/s. Basant Clean Enviro Ltd.,"Plot No. 67, G.I.D.C., Kadi, Distt: Mehsana, Gujarat- 382715 5400",Gujarat,Mehsana,22.054,71.015,5400.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",False,0.0,10.0,205,189,0.078,0.923,2.9,+91-9358185058
REC_EXC_031,CPCB/EXC/2023/031,M/s. Eco Green Recycling,"Plot No. 4, Near-Dynamic Textile, Ozar Road, Mota Ponda, Kapaada, Distt: Valsad, Gujarat 500",Gujarat,Valsad,22.0149,71.3039,500.0,ACTIVE,"PCB,BATTERY,CABLE",False,0.0,10.0,65,62,0.046,0.955,0.7,+91-9730431725
REC_EXC_032,CPCB/EXC/2023/032,M/s. Unicare E-Waste Recycler,"Plot No. 9/1, Raj Industrial Park-III, Jarod-Savali Road, Karachiya, Tal: Savli, Distt: Vadodara- 391520 1500",Gujarat,Vadodara,22.5545,71.5824,1500.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",True,30.0,75.0,115,103,0.104,0.897,2.1,+91-9256943484
REC_EXC_033,CPCB/EXC/2023/033,M/s. Surbine Recycling (P) Ltd.,"Plot No. 765, GIDC Phase-II, Dared- 361004, Distt: Jamnagar 1500",Gujarat,Jamnagar,22.5976,71.5528,1500.0,ACTIVE,"PCB,BATTERY,CABLE,LCD,CRT,MIXED_PLASTIC",False,0.0,10.0,44,39,0.114,0.891,1.5,+91-9434444807
REC_EXC_034,CPCB/EXC/2023/034,M/s. Greentech Recycling,"Plot No. 5&6, Maharaja Estate, B/H: Ananad hotel, Sarkhej-sanand Road, Ahmedabad 702",Gujarat,Ahmedabad,22.5287,70.9082,702.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",False,0.0,10.0,138,121,0.123,0.879,2.1,+91-9690256950
REC_EXC_035,CPCB/EXC/2023/035,M/s. Dinesh Appliances,"Plot No: 10, R. K. Ind Estate, Rakhiyal, Ahmedabad 360",Gujarat,Ahmedabad,21.8971,70.8251,360.0,ACTIVE,"PCB,BATTERY,CABLE,LCD,CRT,MIXED_PLASTIC",True,50.0,30.0,149,132,0.114,0.887,2.7,+91-9103695961
REC_EXC_036,CPCB/EXC/2023/036,M/s. Mahammad Salim & Brothers Near Umiya Weigh Bridge,"GIDC- Sachin, Tal: Chorasi, Dist: Sachin-394230 600",Gujarat,Surat,21.7841,71.655,600.0,ACTIVE,"CRT,MIXED_PLASTIC,METALS",True,20.0,30.0,87,84,0.034,0.966,1.3,+91-9311426941
REC_EXC_037,CPCB/EXC/2023/037,M/s. Electro Waste Solutions Plot no: 631,"GIDC-Halol, Dist: Panchmahal 480",Gujarat,Panchmahal,21.8526,70.8753,480.0,ACTIVE,"CRT,MIXED_PLASTIC,METALS",True,20.0,75.0,98,91,0.071,0.93,0.6,+91-9383627673
REC_EXC_038,CPCB/EXC/2023/038,M/s. Felix Industries Pvt Ltd,"Plot No:123, Devraj
Industrial Park, 200 ft Ring Road, Piplaj-Pirana Road, Piplaj- 382405, Dist: Ahmedabad 375",Gujarat,Ahmedabad,22.1147,71.4502,375.0,SUSPENDED,"CRT,MIXED_PLASTIC,METALS",False,0.0,10.0,98,39,0.602,0.41,0.6,+91-9552949741
REC_EXC_039,CPCB/EXC/2023/039,M/s. Ecotime Industries,"Plot No: 98 & 99, Sparkle Industrial Estate, Tal: Jalalpor, Dist: Navsari396436 144",Gujarat,Navsari,22.7382,70.8677,144.0,SUSPENDED,"PCB,BATTERY,CABLE",True,20.0,75.0,129,51,0.605,0.405,1.9,+91-9743273060
REC_EXC_040,CPCB/EXC/2023/040,M/s. Sharda Copper,"Plot No: SME-06, Bardoli-2,
(Miyawadi) Industrial Estate, Bardoli, Surat-394601 300",Gujarat,Surat,22.1572,71.3083,300.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",False,0.0,10.0,167,156,0.066,0.935,2.0,+91-9269124855
REC_EXC_041,CPCB/EXC/2023/041,M/s. Bharuch Enviro Infrastructure Ltd (Beil),"Plot no: 9701-16, 9801-28, 9901-28, 9601-04, 10001-
10008, G-7 & 8, 7924- 27, 9401-9412, 9501-9506,
7905 E to H, GIDC, A",Gujarat,Bharuch,22.4174,70.8553,700.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",True,20.0,75.0,113,104,0.08,0.922,2.2,+91-9651904800
REC_EXC_042,CPCB/EXC/2023/042,M/s. Star Recycling,"Survey no: 44 P1P1 44P1P2 & 46, Plot no: 45, R K Industrial Zone-09, Kuwadva-     Wankaner Road, Ranpur360023, Tal & Dis",Gujarat,Ranpur,22.217,71.238,629.0,ACTIVE,"PCB,BATTERY,CABLE",True,20.0,50.0,72,63,0.125,0.878,1.1,+91-9646573613
REC_EXC_043,CPCB/EXC/2023/043,M/s. R Planet Integrated Solution Pvt. Ltd Pl,"202 (old block no. 264,265 paiki 1), Village
: Zak-382330, Tal : Dahegam, Dist : Gandhinagar 11450",Gujarat,Gandhinagar,21.7769,70.7868,11450.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",False,0.0,10.0,37,33,0.108,0.897,0.6,+91-9376890017
REC_EXC_044,CPCB/EXC/2023/044,M/s. Payas Recyclers,"Survey No.2139, Plot No.28, Parshwa Industrial Park, B/H. Sandvik Asia, Ahmedabad-Mehsana Highway, Rajpur-382740, Tal:Ka",Gujarat,Ahmedabad,22.0194,71.1884,1158.0,ACTIVE,"PCB,BATTERY,CABLE",True,50.0,30.0,149,141,0.054,0.947,3.4,+91-9306037667
REC_EXC_045,CPCB/EXC/2023/045,M/s. ID Technocom,"Plot No.C1-414/P, GIDC Estate
Mansa, Visnagar Road, Vill-Mansa, Mansa382845, Dist : Gandhinagar 240",Gujarat,Gandhinagar,21.9361,71.443,240.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",True,30.0,30.0,125,112,0.104,0.898,2.2,+91-9868773488
REC_EXC_046,CPCB/EXC/2023/046,M/s. Unity E-Recycling Co,"Sr. No: 310/p, Plot No: 4, Danilimda, Ahmedabad-380028 383",Gujarat,Ahmedabad,22.4385,71.4323,383.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",True,20.0,50.0,113,108,0.044,0.957,1.4,+91-9529431826
REC_EXC_047,CPCB/EXC/2023/047,M/s. Mahaarana Industries Pvt. Ltd.,"Survey No. 466 & 475, Village: Timba, Ta: Daskroi, Dist; Ahmedabad 16585",Gujarat,Ahmedabad,22.1479,70.7032,16585.0,ACTIVE,"PCB,BATTERY,CABLE,LCD,CRT,MIXED_PLASTIC",False,0.0,10.0,57,55,0.035,0.966,1.9,+91-9666236526
REC_EXC_048,CPCB/EXC/2023/048,M/s GL Recycling LLP,"Survey No. 108, Village: Soliya, Ta.:Kotda Sangani, Dist.: Rajkot-360030 14500",Gujarat,Rajkot,21.842,70.7841,14500.0,ACTIVE,"CRT,MIXED_PLASTIC,METALS",True,20.0,30.0,180,171,0.05,0.951,0.8,+91-9347212966
REC_EXC_049,CPCB/EXC/2023/049,"M/s. Electro Alloys Recycling And
Transformation HUB","Plot No. 301/13 , GIDC Palej-392220, Bharuch 780",Gujarat,Bharuch,22.7546,70.7483,780.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",True,50.0,50.0,105,98,0.067,0.935,2.4,+91-9534318588
REC_EXC_050,CPCB/EXC/2023/050,M/s. Reart Recycling Private Limited.,"Plot No.365, Survey No.111p1, Golden Green Industrial Park (phase-D), Khambha-360311,
Tal:Lodhika, Dist:Rajkot 300",Gujarat,Rajkot,22.5972,71.1185,300.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",True,50.0,50.0,34,31,0.088,0.917,3.5,+91-9633738991
REC_EXC_051,CPCB/EXC/2023/051,M/s. Tvarita Phones Pvt. Ltd.,"Plot No.171, Survey No. 846, N. H. 8, Vapi, Valsad-396191 600",Gujarat,Valsad,22.6218,71.5728,600.0,ACTIVE,"PCB,BATTERY,CABLE,LCD,CRT,MIXED_PLASTIC",True,20.0,50.0,188,172,0.085,0.916,2.2,+91-9848277850
REC_EXC_052,CPCB/EXC/2023/052,M/s. Kalpana E-Recyclers,"Plot No. 2486, Madhuban Industrial Park, Village: Kuha, Ta: Daskroi, Dist: Ahmedabad 876",Gujarat,Ahmedabad,22.0074,71.0227,876.0,ACTIVE,"PCB,BATTERY,CABLE,LCD,CRT,MIXED_PLASTIC",True,30.0,50.0,87,82,0.057,0.944,0.9,+91-9740853352
REC_EXC_053,CPCB/EXC/2023/053,M/s. Enviro Green Recycling,"Survey/Block No. 736/737, Village:
Tarsadi., Ta: Mangrol, Dist: Surat -394125 12775",Gujarat,Surat,22.5029,71.3734,12775.0,ACTIVE,"PCB,BATTERY,CABLE",True,20.0,30.0,85,78,0.082,0.92,3.4,+91-9152203051
REC_EXC_054,CPCB/EXC/2023/054,M/s. Liberty Recycling,"Survey No.1439, Old Survey
No.256/1/5, Near Balda Industrial Park, Village: Balda, Tal: Pardi, Dist: Valsad 893",Gujarat,Valsad,22.7366,71.2484,893.0,ACTIVE,"PCB,BATTERY,CABLE,LCD,CRT,MIXED_PLASTIC",False,0.0,10.0,193,178,0.078,0.923,0.7,+91-9813889838
REC_EXC_055,CPCB/EXC/2023/055,M/s. Green Earth Management Company,"Plot No. 13, Supreme – 3 Industrial Park, Near Vibrant weighbridge, Zak- Kadadara Road, Vill.: Kadadara, Tal- Dahegam, G",Gujarat,Dahegam,22.3881,71.3881,893.0,ACTIVE,"CRT,MIXED_PLASTIC,METALS",True,30.0,75.0,173,164,0.052,0.949,1.3,+91-9960760799
REC_EXC_056,CPCB/EXC/2023/056,M/s. Gujarat Green Recycling,"Plot No. MSME-500, Sanand-II,
Engineering Industrial Estate, GIDC Sanand-II, Dist:Ahmedabad 375",Gujarat,Ahmedabad,21.8166,71.0869,375.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",True,30.0,50.0,165,148,0.103,0.898,1.3,+91-9573928548
REC_EXC_057,CPCB/EXC/2023/057,M/s. New India Sales Corporation,"Plot No. C1B-1915, GIDC Panoli,
Dist: Ankleshwar-394116 300",Gujarat,Bharuch,22.7331,71.6786,300.0,ACTIVE,"CRT,MIXED_PLASTIC,METALS",True,20.0,30.0,186,162,0.129,0.872,3.0,+91-9958134097
REC_EXC_058,CPCB/EXC/2023/058,M/s Technogreen Recycling Private Limited,"Survey No.367-377, Village - Modasar. Tal-Sanand .Distt.Ahmedabad-382481 14400",Gujarat,Ahmedabad,22.1753,71.2736,14400.0,ACTIVE,"PCB,BATTERY,CABLE",False,0.0,10.0,59,56,0.051,0.951,1.0,+91-9792585463
REC_EXC_059,CPCB/EXC/2023/059,M/s. Evergreen E Waste Management Pvt. Ltd.,"Plot No.: 30, 31, Kamla Amrut Industrial Park, At: Budasan kadi, Taluka & Dist.: Mehsana –
382715 12000",Gujarat,Mehsana,22.1352,71.503,12000.0,ACTIVE,"PCB,BATTERY,CABLE",False,0.0,10.0,114,108,0.053,0.948,3.4,+91-9495647770
REC_EXC_060,CPCB/EXC/2023/060,M/s. Egnus Ewaste Solution Private Limited.,"Plot No.31, Village: Motwan, Tal: Ankleshwar, Dist.: Bharuch- 393020 30000",Gujarat,Bharuch,22.3278,70.7559,30000.0,SUSPENDED,"PCB,BATTERY,CABLE,LCD,CRT,MIXED_PLASTIC",False,0.0,10.0,178,71,0.601,0.406,0.7,+91-9923407067
REC_EXC_061,CPCB/EXC/2023/061,M/s Global E Waste Management Systems Plot No: Shop No 729/s-1 to,Sonum Township Nessai Salcete – Goa 103 153,Goa,Margao,15.6122,74.6237,153.0,ACTIVE,"CRT,MIXED_PLASTIC,METALS",True,20.0,30.0,194,184,0.052,0.949,1.2,+91-9961330509
REC_EXC_062,CPCB/EXC/2023/062,M/s. Group Ten Plus,"H. No. 8/5, Abreovaddo , Saligao, Bardez, Goa 50",Goa,Mapusa,15.0043,73.8754,50.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",False,0.0,10.0,142,135,0.049,0.951,1.6,+91-9587726151
REC_EXC_063,CPCB/EXC/2023/063,M/s Honey Disposal Store,"Plot No. 67-68
Jarrout Road, Village Mandour Industrial Area Ambala city. 300 157187.67",Haryana,Ambala,28.581,76.0838,157187.67,ACTIVE,"PCB,CABLE,LCD,MOTORS",True,30.0,30.0,83,81,0.024,0.976,3.1,+91-9759203896
REC_EXC_064,CPCB/EXC/2023/064,M/s. Thapar Disposal Industries,"902A/5/6, Chara Mandi Road, Ambala City 1825",Haryana,Ambala,29.1488,76.0656,1825.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",True,30.0,50.0,104,92,0.115,0.887,2.4,+91-9532020261
REC_EXC_065,CPCB/EXC/2023/065,M/s. Mittal Battery,"plot No. 349, Indl-Area, Ph-1, Panchkula. (Not available on website) 3600",Haryana,Panchkula,29.1669,76.2222,3600.0,ACTIVE,"PCB,BATTERY,CABLE",False,0.0,10.0,81,74,0.086,0.916,2.9,+91-9729396475
REC_EXC_066,CPCB/EXC/2023/066,M/s. Exigo Recycling Pvt. Ltd.,"G. T. Road, Samalkha Panipat 6000",Haryana,Panipat,28.8568,76.1092,6000.0,ACTIVE,"PCB,BATTERY,CABLE,LCD,CRT,MIXED_PLASTIC",True,30.0,30.0,103,98,0.049,0.952,1.9,+91-9618856453
REC_EXC_067,CPCB/EXC/2023/067,M/s. Exigo Recycling (P) Ltd.,"Barsat Road, Panipat 18000",Haryana,Panipat,29.0514,75.9144,18000.0,ACTIVE,"CRT,MIXED_PLASTIC,METALS",False,0.0,10.0,144,133,0.076,0.925,0.9,+91-9752417118
REC_EXC_068,CPCB/EXC/2023/068,M/s. Adinath Recyclotronix (P) Ltd.,"Plot
No.#361, Industrial Estate, HSIIDC, Panipat(Not available on website) 1080",Haryana,Panipat,28.9591,76.2833,1080.0,ACTIVE,"PCB,BATTERY,CABLE",True,20.0,75.0,125,114,0.088,0.913,3.4,+91-9537809212
REC_EXC_069,CPCB/EXC/2023/069,M/s Earth Waste Management Pvt. Ltd. Vill-Ismaila,Distt. Rohtak 600,Haryana,Rohtak,28.7511,75.6265,600.0,ACTIVE,"PCB,BATTERY,CABLE",True,20.0,50.0,178,164,0.079,0.922,1.9,+91-9986196569
REC_EXC_070,CPCB/EXC/2023/070,M/s. Giriraj Metal,"P. No. 39 HSIIDC, IE, Kutana, Rohtak 300",Haryana,Rohtak,29.453,75.7143,300.0,ACTIVE,"CRT,MIXED_PLASTIC,METALS",True,30.0,30.0,76,71,0.066,0.936,2.0,+91-9774213994
REC_EXC_071,CPCB/EXC/2023/071,M/s. Green World International,"Pvt. Ltd., GR 60-61 Ganpati Industrial Dham Industrial Area Bahadugarh Haryana 5000",Haryana,Fatehabad,29.4797,75.6467,5000.0,ACTIVE,"CRT,MIXED_PLASTIC,METALS",True,20.0,75.0,209,184,0.12,0.882,3.3,+91-9607900377
REC_EXC_072,CPCB/EXC/2023/072,M/s Renu Recycling Company,"Plot No. 1257, MIE-B, Bahadurgarh 1800",Haryana,Jhajjar,29.3188,76.1169,1800.0,ACTIVE,"CRT,MIXED_PLASTIC,METALS",False,0.0,10.0,216,192,0.111,0.89,2.6,+91-9505619606
REC_EXC_073,CPCB/EXC/2023/073,M/s AMN E-Waste Management Pvt Ltd.,"Plot No. 171, Sector-59, Industrial Area, Faridabad (Not available on website) 290",Haryana,Faridabad,29.0705,76.1177,290.0,ACTIVE,"CRT,MIXED_PLASTIC,METALS",True,50.0,75.0,44,38,0.136,0.87,1.6,+91-9186205129
REC_EXC_074,CPCB/EXC/2023/074,M/s Endeavor Re-processor and Recyclers India,"Plot no. 323, Sec-24, industrial Area, Faridabad  (Not available on website) 365",Haryana,Faridabad,29.1228,76.4263,365.0,ACTIVE,"PCB,BATTERY,CABLE,LCD,CRT,MIXED_PLASTIC",True,20.0,30.0,42,39,0.071,0.932,1.6,+91-9739189224
REC_EXC_075,CPCB/EXC/2023/075,M/s E-waste Solutions,"Industrial Shed, 1A, Industrial Estate, Sec-6, Faridabad 1000",Haryana,Faridabad,29.0572,75.6725,1000.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",True,20.0,75.0,71,63,0.113,0.89,3.2,+91-9561946175
REC_EXC_076,CPCB/EXC/2023/076,M/s V S Enterprises,"Plot no. 9, Pragati Vihar, Sector-59, Faridabad (Not available on website) 300",Haryana,Faridabad,29.1296,75.9417,300.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",True,20.0,30.0,179,158,0.117,0.884,1.2,+91-9790121219
