material_code,city,as_of,buy_rate_per_kg
ALUMINIUM_WIRE,Chandigarh,2026-05-01,112.6
LEad_ACID,Chandigarh,2026-05-01,87.6
BATTERY_LITHIUM_PORTABLE,Chandigarh,2026-05-01,127.6
LCD_PANEL_INTACT,Chandigarh,2026-05-01,157.6
CRT_MONITOR,Chandigarh,2026-05-01,17.6
MIXED_EWASTE_CASING,Chandigarh,2026-05-01,17.6
MOTHERBOARD_HIGH_GRADE,Ludhiana,2026-05-01,305.6
POWER_SUPPLY_LOW_GRADE,Ludhiana,2026-05-01,55.6
COPPER_HEAVY_INSULATED,Ludhiana,2026-05-01,445.6
ALUMINIUM_WIRE,Ludhiana,2026-05-01,120.6
LEad_ACID,Ludhiana,2026-05-01,95.6
BATTERY_LITHIUM_PORTABLE,Ludhiana,2026-05-01,135.6
LCD_PANEL_INTACT,Ludhiana,2026-05-01,165.6
CRT_MONITOR,Ludhiana,2026-05-01,25.6
MIXED_EWASTE_CASING,Ludhiana,2026-05-01,25.6
MOTHERBOARD_HIGH_GRADE,Dehradun,2026-05-01,302.6
POWER_SUPPLY_LOW_GRADE,Dehradun,2026-05-01,52.6
COPPER_HEAVY_INSULATED,Dehradun,2026-05-01,442.6
ALUMINIUM_WIRE,Dehradun,2026-05-01,117.6
LEad_ACID,Dehradun,2026-05-01,92.6
BATTERY_LITHIUM_PORTABLE,Dehradun,2026-05-01,132.6
LCD_PANEL_INTACT,Dehradun,2026-05-01,162.6
CRT_MONITOR,Dehradun,2026-05-01,22.6
MIXED_EWASTE_CASING,Dehradun,2026-05-01,22.6
MOTHERBOARD_HIGH_GRADE,Raipur,2026-05-01,299.6
POWER_SUPPLY_LOW_GRADE,Raipur,2026-05-01,49.6
COPPER_HEAVY_INSULATED,Raipur,2026-05-01,439.6
ALUMINIUM_WIRE,Raipur,2026-05-01,114.6
LEad_ACID,Raipur,2026-05-01,89.6
BATTERY_LITHIUM_PORTABLE,Raipur,2026-05-01,129.6
LCD_PANEL_INTACT,Raipur,2026-05-01,159.6
CRT_MONITOR,Raipur,2026-05-01,19.6
MIXED_EWASTE_CASING,Raipur,2026-05-01,19.6
MOTHERBOARD_HIGH_GRADE,Ranchi,2026-05-01,303.6
POWER_SUPPLY_LOW_GRADE,Ranchi,2026-05-01,53.6
COPPER_HEAVY_INSULATED,Ranchi,2026-05-01,443.6
ALUMINIUM_WIRE,Ranchi,2026-05-01,118.6
LEad_ACID,Ranchi,2026-05-01,93.6
BATTERY_LITHIUM_PORTABLE,Ranchi,2026-05-01,133.6
LCD_PANEL_INTACT,Ranchi,2026-05-01,163.6
CRT_MONITOR,Ranchi,2026-05-01,23.6
MIXED_EWASTE_CASING,Ranchi,2026-05-01,23.6
MOTHERBOARD_HIGH_GRADE,Guwahati,2026-05-01,293.6
POWER_SUPPLY_LOW_GRADE,Guwahati,2026-05-01,43.6
COPPER_HEAVY_INSULATED,Guwahati,2026-05-01,433.6
ALUMINIUM_WIRE,Guwahati,2026-05-01,108.6
LEad_ACID,Guwahati,2026-05-01,83.6
BATTERY_LITHIUM_PORTABLE,Guwahati,2026-05-01,123.6
LCD_PANEL_INTACT,Guwahati,2026-05-01,153.6
CRT_MONITOR,Guwahati,2026-05-01,14.0
MIXED_EWASTE_CASING,Guwahati,2026-05-01,14.0
MOTHERBOARD_HIGH_GRADE,Thiruvananthapuram,2026-05-01,307.6
POWER_SUPPLY_LOW_GRADE,Thiruvananthapuram,2026-05-01,57.6
COPPER_HEAVY_INSULATED,Thiruvananthapuram,2026-05-01,447.6
ALUMINIUM_WIRE,Thiruvananthapuram,2026-05-01,122.6
LEad_ACID,Thiruvananthapuram,2026-05-01,97.6
BATTERY_LITHIUM_PORTABLE,Thiruvananthapuram,2026-05-01,137.6
LCD_PANEL_INTACT,Thiruvananthapuram,2026-05-01,167.6
CRT_MONITOR,Thiruvananthapuram,2026-05-01,27.6
MIXED_EWASTE_CASING,Thiruvananthapuram,2026-05-01,27.6
MOTHERBOARD_HIGH_GRADE,Panaji,2026-05-01,301.6
POWER_SUPPLY_LOW_GRADE,Panaji,2026-05-01,51.6
COPPER_HEAVY_INSULATED,Panaji,2026-05-01,441.6
ALUMINIUM_WIRE,Panaji,2026-05-01,116.6
LEad_ACID,Panaji,2026-05-01,91.6
BATTERY_LITHIUM_PORTABLE,Panaji,2026-05-01,131.6
LCD_PANEL_INTACT,Panaji,2026-05-01,161.6
CRT_MONITOR,Panaji,2026-05-01,21.6
MIXED_EWASTE_CASING,Panaji,2026-05-01,21.6
MOTHERBOARD_HIGH_GRADE,Jammu,2026-05-01,300.6
POWER_SUPPLY_LOW_GRADE,Jammu,2026-05-01,50.6
COPPER_HEAVY_INSULATED,Jammu,2026-05-01,440.6
ALUMINIUM_WIRE,Jammu,2026-05-01,115.6
LEad_ACID,Jammu,2026-05-01,90.6
BATTERY_LITHIUM_PORTABLE,Jammu,2026-05-01,130.6
LCD_PANEL_INTACT,Jammu,2026-05-01,160.6
CRT_MONITOR,Jammu,2026-05-01,20.6
MIXED_EWASTE_CASING,Jammu,2026-05-01,20.6
MOTHERBOARD_HIGH_GRADE,Shimla,2026-05-01,307.6
POWER_SUPPLY_LOW_GRADE,Shimla,2026-05-01,57.6
COPPER_HEAVY_INSULATED,Shimla,2026-05-01,447.6
ALUMINIUM_WIRE,Shimla,2026-05-01,122.6
LEad_ACID,Shimla,2026-05-01,97.6
BATTERY_LITHIUM_PORTABLE,Shimla,2026-05-01,137.6
LCD_PANEL_INTACT,Shimla,2026-05-01,167.6
CRT_MONITOR,Shimla,2026-05-01,27.6
MIXED_EWASTE_CASING,Shimla,2026-05-01,27.6
MOTHERBOARD_HIGH_GRADE,Delhi,2026-05-02,295.9
POWER_SUPPLY_LOW_GRADE,Delhi,2026-05-02,45.9
COPPER_HEAVY_INSULATED,Delhi,2026-05-02,435.9
ALUMINIUM_WIRE,Delhi,2026-05-02,110.9
LEad_ACID,Delhi,2026-05-02,85.9
BATTERY_LITHIUM_PORTABLE,Delhi,2026-05-02,125.9
LCD_PANEL_INTACT,Delhi,2026-05-02,155.9
CRT_MONITOR,Delhi,2026-05-02,15.9
MIXED_EWASTE_CASING,Delhi,2026-05-02,15.9
MOTHERBOARD_HIGH_GRADE,Mumbai,2026-05-02,300.9
POWER_SUPPLY_LOW_GRADE,Mumbai,2026-05-02,50.9
COPPER_HEAVY_INSULATED,Mumbai,2026-05-02,440.9
ALUMINIUM_WIRE,Mumbai,2026-05-02,115.9
LEad_ACID,Mumbai,2026-05-02,90.9
BATTERY_LITHIUM_PORTABLE,Mumbai,2026-05-02,130.9
LCD_PANEL_INTACT,Mumbai,2026-05-02,160.9
CRT_MONITOR,Mumbai,2026-05-02,20.9
MIXED_EWASTE_CASING,Mumbai,2026-05-02,20.9
MOTHERBOARD_HIGH_GRADE,Pune,2026-05-02,306.9
POWER_SUPPLY_LOW_GRADE,Pune,2026-05-02,56.9
COPPER_HEAVY_INSULATED,Pune,2026-05-02,446.9
ALUMINIUM_WIRE,Pune,2026-05-02,121.9
LEad_ACID,Pune,2026-05-02,96.9
BATTERY_LITHIUM_PORTABLE,Pune,2026-05-02,136.9
LCD_PANEL_INTACT,Pune,2026-05-02,166.9
CRT_MONITOR,Pune,2026-05-02,26.9
MIXED_EWASTE_CASING,Pune,2026-05-02,26.9
MOTHERBOARD_HIGH_GRADE,Nagpur,2026-05-02,301.9
POWER_SUPPLY_LOW_GRADE,Nagpur,2026-05-02,51.9
COPPER_HEAVY_INSULATED,Nagpur,2026-05-02,441.9
ALUMINIUM_WIRE,Nagpur,2026-05-02,116.9
LEad_ACID,Nagpur,2026-05-02,91.9
BATTERY_LITHIUM_PORTABLE,Nagpur,2026-05-02,131.9
LCD_PANEL_INTACT,Nagpur,2026-05-02,161.9
CRT_MONITOR,Nagpur,2026-05-02,21.9
MIXED_EWASTE_CASING,Nagpur,2026-05-02,21.9
MOTHERBOARD_HIGH_GRADE,Bengaluru,2026-05-02,307.9
POWER_SUPPLY_LOW_GRADE,Bengaluru,2026-05-02,57.9
COPPER_HEAVY_INSULATED,Bengaluru,2026-05-02,447.9
ALUMINIUM_WIRE,Bengaluru,2026-05-02,122.9
LEad_ACID,Bengaluru,2026-05-02,97.9
BATTERY_LITHIUM_PORTABLE,Bengaluru,2026-05-02,137.9
LCD_PANEL_INTACT,Bengaluru,2026-05-02,167.9
CRT_MONITOR,Bengaluru,2026-05-02,27.9
MIXED_EWASTE_CASING,Bengaluru,2026-05-02,27.9
MOTHERBOARD_HIGH_GRADE,Mysuru,2026-05-02,300.9
POWER_SUPPLY_LOW_GRADE,Mysuru,2026-05-02,50.9
COPPER_HEAVY_INSULATED,Mysuru,2026-05-02,440.9
ALUMINIUM_WIRE,Mysuru,2026-05-02,115.9
LEad_ACID,Mysuru,2026-05-02,90.9
BATTERY_LITHIUM_PORTABLE,Mysuru,2026-05-02,130.9
LCD_PANEL_INTACT,Mysuru,2026-05-02,160.9
CRT_MONITOR,Mysuru,2026-05-02,20.9
MIXED_EWASTE_CASING,Mysuru,2026-05-02,20.9
MOTHERBOARD_HIGH_GRADE,Chennai,2026-05-02,308.9
POWER_SUPPLY_LOW_GRADE,Chennai,2026-05-02,58.9
COPPER_HEAVY_INSULATED,Chennai,2026-05-02,448.9
ALUMINIUM_WIRE,Chennai,2026-05-02,123.9
LEad_ACID,Chennai,2026-05-02,98.9
BATTERY_LITHIUM_PORTABLE,Chennai,2026-05-02,138.9
LCD_PANEL_INTACT,Chennai,2026-05-02,168.9
CRT_MONITOR,Chennai,2026-05-02,28.9
MIXED_EWASTE_CASING,Chennai,2026-05-02,28.9
MOTHERBOARD_HIGH_GRADE,Coimbatore,2026-05-02,304.9
POWER_SUPPLY_LOW_GRADE,Coimbatore,2026-05-02,54.9
COPPER_HEAVY_INSULATED,Coimbatore,2026-05-02,444.9
ALUMINIUM_WIRE,Coimbatore,2026-05-02,119.9
LEad_ACID,Coimbatore,2026-05-02,94.9
BATTERY_LITHIUM_PORTABLE,Coimbatore,2026-05-02,134.9
LCD_PANEL_INTACT,Coimbatore,2026-05-02,164.9
CRT_MONITOR,Coimbatore,2026-05-02,24.9
MIXED_EWASTE_CASING,Coimbatore,2026-05-02,24.9
MOTHERBOARD_HIGH_GRADE,Hyderabad,2026-05-02,297.9
POWER_SUPPLY_LOW_GRADE,Hyderabad,2026-05-02,47.9
COPPER_HEAVY_INSULATED,Hyderabad,2026-05-02,437.9
ALUMINIUM_WIRE,Hyderabad,2026-05-02,112.9
LEad_ACID,Hyderabad,2026-05-02,87.9
BATTERY_LITHIUM_PORTABLE,Hyderabad,2026-05-02,127.9
LCD_PANEL_INTACT,Hyderabad,2026-05-02,157.9
CRT_MONITOR,Hyderabad,2026-05-02,17.9
MIXED_EWASTE_CASING,Hyderabad,2026-05-02,17.9
MOTHERBOARD_HIGH_GRADE,Ahmedabad,2026-05-02,304.9
POWER_SUPPLY_LOW_GRADE,Ahmedabad,2026-05-02,54.9
COPPER_HEAVY_INSULATED,Ahmedabad,2026-05-02,444.9
ALUMINIUM_WIRE,Ahmedabad,2026-05-02,119.9
LEad_ACID,Ahmedabad,2026-05-02,94.9
BATTERY_LITHIUM_PORTABLE,Ahmedabad,2026-05-02,134.9
LCD_PANEL_INTACT,Ahmedabad,2026-05-02,164.9
CRT_MONITOR,Ahmedabad,2026-05-02,24.9
MIXED_EWASTE_CASING,Ahmedabad,2026-05-02,24.9
MOTHERBOARD_HIGH_GRADE,Surat,2026-05-02,302.9
POWER_SUPPLY_LOW_GRADE,Surat,2026-05-02,52.9
COPPER_HEAVY_INSULATED,Surat,2026-05-02,442.9
ALUMINIUM_WIRE,Surat,2026-05-02,117.9
LEad_ACID,Surat,2026-05-02,92.9
BATTERY_LITHIUM_PORTABLE,Surat,2026-05-02,132.9
LCD_PANEL_INTACT,Surat,2026-05-02,162.9
CRT_MONITOR,Surat,2026-05-02,22.9
MIXED_EWASTE_CASING,Surat,2026-05-02,22.9
MOTHERBOARD_HIGH_GRADE,Kolkata,2026-05-02,305.9
POWER_SUPPLY_LOW_GRADE,Kolkata,2026-05-02,55.9
COPPER_HEAVY_INSULATED,Kolkata,2026-05-02,445.9
ALUMINIUM_WIRE,Kolkata,2026-05-02,120.9
LEad_ACID,Kolkata,2026-05-02,95.9
BATTERY_LITHIUM_PORTABLE,Kolkata,2026-05-02,135.9
LCD_PANEL_INTACT,Kolkata,2026-05-02,165.9
CRT_MONITOR,Kolkata,2026-05-02,25.9
MIXED_EWASTE_CASING,Kolkata,2026-05-02,25.9
MOTHERBOARD_HIGH_GRADE,Lucknow,2026-05-02,303.9
POWER_SUPPLY_LOW_GRADE,Lucknow,2026-05-02,53.9
COPPER_HEAVY_INSULATED,Lucknow,2026-05-02,443.9
ALUMINIUM_WIRE,Lucknow,2026-05-02,118.9
LEad_ACID,Lucknow,2026-05-02,93.9
BATTERY_LITHIUM_PORTABLE,Lucknow,2026-05-02,133.9
LCD_PANEL_INTACT,Lucknow,2026-05-02,163.9
CRT_MONITOR,Lucknow,2026-05-02,23.9
MIXED_EWASTE_CASING,Lucknow,2026-05-02,23.9
MOTHERBOARD_HIGH_GRADE,Noida,2026-05-02,300.9
POWER_SUPPLY_LOW_GRADE,Noida,2026-05-02,50.9
COPPER_HEAVY_INSULATED,Noida,2026-05-02,440.9
ALUMINIUM_WIRE,Noida,2026-05-02,115.9
LEad_ACID,Noida,2026-05-02,90.9
BATTERY_LITHIUM_PORTABLE,Noida,2026-05-02,130.9
LCD_PANEL_INTACT,Noida,2026-05-02,160.9
CRT_MONITOR,Noida,2026-05-02,20.9
MIXED_EWASTE_CASING,Noida,2026-05-02,20.9
MOTHERBOARD_HIGH_GRADE,Kanpur,2026-05-02,301.9
POWER_SUPPLY_LOW_GRADE,Kanpur,2026-05-02,51.9
COPPER_HEAVY_INSULATED,Kanpur,2026-05-02,441.9
ALUMINIUM_WIRE,Kanpur,2026-05-02,116.9
LEad_ACID,Kanpur,2026-05-02,91.9
BATTERY_LITHIUM_PORTABLE,Kanpur,2026-05-02,131.9
LCD_PANEL_INTACT,Kanpur,2026-05-02,161.9
CRT_MONITOR,Kanpur,2026-05-02,21.9
MIXED_EWASTE_CASING,Kanpur,2026-05-02,21.9
MOTHERBOARD_HIGH_GRADE,Bhubaneswar,2026-05-02,305.9
POWER_SUPPLY_LOW_GRADE,Bhubaneswar,2026-05-02,55.9
COPPER_HEAVY_INSULATED,Bhubaneswar,2026-05-02,445.9
ALUMINIUM_WIRE,Bhubaneswar,2026-05-02,120.9
LEad_ACID,Bhubaneswar,2026-05-02,95.9
BATTERY_LITHIUM_PORTABLE,Bhubaneswar,2026-05-02,135.9
LCD_PANEL_INTACT,Bhubaneswar,2026-05-02,165.9
CRT_MONITOR,Bhubaneswar,2026-05-02,25.9
